monster_idx,monster_name,monster_type,monster_base,size_type,hp,attack,defense,magic_defense,attack_speed,exp_reward,sprite_path,description
2150,사마엘,Normal,Lizardman,2,550,85,40,35,1.0,500,ch2_boss_samael,독의 지배자 — 죽음의 천사
2201,서큐버스 유혹마,Demon,Succubus,2,120,22,8,35,1.2,100,ch2_succubus_enchantress,시기심을 부추기는 디버프형
2202,서큐버스 독술사,Demon,Succubus,1,100,25,6,30,1.3,90,ch2_succubus_poisoner,독안개 마법 원거리 공격
2203,오크 탈취자,Demon,Orc,2,220,35,20,12,1.0,160,ch2_orc_usurper,남의 힘을 탐내 변형된 야만 전사
2250,아비주,Demon,Succubus,2,520,80,30,55,1.1,480,ch2_boss_abyzou,시기의 어머니 — 타인을 시기하여 저주하는 악마
2301,수목 원혼,Undead,Ghost,1,75,15,3,35,1.3,60,ch2_ghost_treespirit,나무에 깃든 원한의 영혼
2302,울부짖는 유령,Undead,Ghost,1,90,20,4,40,1.2,75,ch2_ghost_wailer,시기의 울음소리 저주 디버프형
2303,뿌리 좀비,Undead,Zombie,2,250,22,18,8,0.7,160,ch2_zombie_rotroot,썩은 뿌리에 얽힌 거대 시체
2350,밴시,Undead,Ghost,2,500,78,20,70,1.0,460,ch2_boss_banshee,부패한 곡성 — 죽음을 예고하는 울음
2900,레비아탄,Demon,Gargoyle,3,2200,230,90,80,0.6,2500,ch2_chboss_leviathan,시기의 심연에서 올라온 괴물
3101,사막 도마뱀 약탈자,Normal,Lizardman,1,95,20,10,8,1.4,70,ch3_lizardman_raider,폐허의 보물 사냥꾼
3102,사막 도마뱀 주술사,Normal,Lizardman,1,80,22,7,22,1.2,75,ch3_lizardman_shaman,모래 마법 원거리
3103,사암 골렘,Normal,Golem,2,250,20,35,15,0.6,170,ch3_golem_sandstone,폐허에서 깨어난 거대 석상
3150,다곤,Normal,Golem,3,600,90,55,30,0.7,550,ch3_boss_dagon,모래에 묻힌 신 — 반인반어 고대 신
3201,해골 수호병,Undead,Skeleton,1,90,14,10,6,1.2,60,ch3_skeleton_guardian,묘지 수호 근접 전사
3202,해골 석궁병,Undead,Skeleton,1,75,20,6,6,1.3,65,ch3_skeleton_crossbow,지하묘지 함정 지킴이
3203,뱀파이어 귀족,Undead,Vampire,2,240,30,18,30,1.1,180,ch3_vampire_noble,지하묘지의 흡혈 지배자
3250,카론,Undead,Skeleton,2,580,85,45,25,0.8,520,ch3_boss_charon,탐욕의 뱃사공 — 대가 없이는 건너지 못한다
3301,황금 임프,Demon,Imp,1,85,22,6,25,1.5,70,ch3_imp_goldfire,보물고의 마법 수비수
3302,고블린 약탈병,Demon,Goblin,1,75,18,8,15,1.6,60,ch3_goblin_looter,잔꾀형 보물 약탈자
3303,고블린 금고지기,Demon,Goblin,2,200,32,22,20,1.0,170,ch3_goblin_vaultkeeper,황금 갑옷의 거대 고블린 대장
3350,메피스토펠레스,Demon,Gargoyle,3,620,95,40,50,0.9,580,ch3_boss_mephistopheles,황금의 거래자 — 영혼 거래의 아이콘
3900,맘몬,Demon,Gargoyle,3,2600,260,100,90,0.6,3000,ch3_chboss_mammon,탐욕의 왕 — 황금 왕국의 지배자
4101,서리 원혼,Undead,Ghost,1,85,18,4,40,1.3,75,ch4_ghost_frostwraith,냉기 마법의 얼어붙은 영혼
4102,동결 곡성귀,Undead,Ghost,1,100,22,5,45,1.1,85,ch4_ghost_frostwailer,빙결 저주 디버프형
4103,빙결 좀비,Undead,Zombie,2,280,25,20,10,0.6,180,ch4_zombie_frozen,얼음에 묻혀있던 거대 시체
4150,유키온나,Undead,Ghost,2,640,95,25,75,1.0,600,ch4_boss_yukionna,동토의 설녀 — 눈보라 속 유령 여인
4201,서리 고블린 병사,Demon,Goblin,1,80,20,10,18,1.5,70,ch4_goblin_frostguard,빙하 요새 경비병
4202,얼음 임프,Demon,Imp,1,90,24,6,30,1.4,80,ch4_imp_icecaster,냉기 마법 원거리
4203,고블린 빙하대장,Demon,Goblin,2,220,35,25,22,0.9,185,ch4_goblin_glaciercaptain,얼음 갑옷의 거대 고블린 대장
4250,아스타로스,Demon,Gargoyle,2,660,100,50,40,0.8,620,ch4_boss_astaroth,빙하의 태공 — 게으름과 허영의 악마
4301,예티 척후,Normal,Yeti,2,200,28,15,8,1.0,150,ch4_yeti_scout,설인 정찰병
4302,예티 투석병,Normal,Yeti,2,180,32,12,10,0.9,140,ch4_yeti_hurler,얼음 덩이를 던지는 원거리
4303,트롤 빙하거인,Normal,Troll,3,350,40,40,15,0.5,280,ch4_troll_glacier,얼어붙은 피부의 거대 트롤
4350,파주주,Normal,Troll,3,680,105,55,30,0.7,640,ch4_boss_pazuzu,얼어붙은 바람왕 — 동토에 영원히 얼어붙은 자
4900,벨페고르,Demon,Gargoyle,3,3000,290,110,100,0.5,3500,ch4_chboss_belphegor,나태의 왕 — 모든 것이 멈추기를 원하는 자
5101,부식 좀비,Undead,Zombie,2,300,28,15,8,0.7,180,ch5_zombie_corrosion,삼켜진 시체가 움직이는 형태
5102,리치 수행자,Undead,Lich,2,200,35,10,55,1.0,200,ch5_lich_acolyte,심연의 마법을 다루는 하급 리치
5103,부식 리치,Undead,Lich,2,280,42,12,65,0.9,280,ch5_lich_corroder,부식 마법을 다루는 상급 리치
5150,플레이스홀더,Undead,Lich,3,700,110,30,80,0.8,700,ch5_boss_st1,탐식의 문지기
5201,동굴 예티,Normal,Yeti,2,250,32,18,10,0.9,190,ch5_yeti_cave,동굴에 서식하는 예티
5202,바위 골렘,Normal,Golem,2,300,24,40,18,0.5,200,ch5_golem_rock,살아있는 미로의 돌 파수꾼
5203,거대 골렘,Normal,Golem,3,450,38,60,25,0.4,320,ch5_golem_ancient,심연의 핵심을 지키는 고대 골렘
5250,플레이스홀더,Normal,Golem,3,720,115,60,35,0.6,720,ch5_boss_st2,맥동하는 미로의 수호자
5301,가고일 파수꾼,Demon,Gargoyle,2,280,30,30,25,0.9,210,ch5_gargoyle_guardian,심연 입구를 지키는 가고일
5302,오크 포식자,Demon,Orc,2,320,45,22,12,1.0,240,ch5_orc_devourer,모든 것을 탐하는 오크
5303,악마 가고일,Demon,Gargoyle,3,420,50,40,35,0.8,350,ch5_gargoyle_demon,심연의 최심부 가고일
5350,플레이스홀더,Demon,Gargoyle,3,740,120,45,50,0.8,740,ch5_boss_st3,소화의 심연 지배자
5900,바알제붑,Demon,Gargoyle,3,3400,320,120,110,0.5,4000,ch5_chboss_beelzebub,폭식의 왕 — 모든 것을 삼키는 심연의 군주
6101,서큐버스 유혹자,Demon,Succubus,2,250,28,10,40,1.2,200,ch6_succubus_tempter,타락한 정원의 유혹 마녀
6102,화염 임프,Demon,Imp,1,110,26,7,28,1.4,150,ch6_imp_flame,정원을 지키는 임프 마법사
6103,대임프 사제,Demon,Imp,2,200,35,15,40,1.1,230,ch6_imp_highpriest,타락 의식을 집행하는 사제
6150,플레이스홀더,Demon,Succubus,2,760,125,35,60,1.0,760,ch6_boss_st1,부패한 정원의 지배자
6201,뱀파이어 후작,Undead,Vampire,2,280,35,20,35,1.1,240,ch6_vampire_marquis,회랑을 떠도는 흡혈 귀족
6202,유혹의 유령,Undead,Ghost,1,120,25,5,50,1.2,160,ch6_ghost_allure,유혹의 속삭임으로 현혹하는 유령
6203,뱀파이어 백작,Undead,Vampire,3,400,50,30,50,0.9,350,ch6_vampire_count,회랑의 지배자 흡혈 백작
6250,플레이스홀더,Undead,Vampire,3,780,130,40,65,0.9,780,ch6_boss_st2,유혹의 회랑 주인
6301,도마뱀 근위병,Normal,Lizardman,2,260,32,18,12,1.1,220,ch6_lizardman_guard,왕좌를 지키는 근위 전사
6302,트롤 집행자,Normal,Troll,2,350,38,35,15,0.7,280,ch6_troll_executor,욕망의 왕좌 집행관
6303,도마뱀 대장,Normal,Lizardman,2,300,40,22,18,1.0,260,ch6_lizardman_captain,근위대 대장
6350,플레이스홀더,Normal,Troll,3,800,135,55,30,0.7,800,ch6_boss_st3,욕망의 왕좌 수호자
6900,아스모데우스,Demon,Gargoyle,3,3800,350,130,120,0.5,4500,ch6_chboss_asmodeus,색욕의 왕 — 욕망에 잠식된 궁전의 지배자
7101,가고일 천상병,Demon,Gargoyle,2,320,35,35,30,0.9,250,ch7_gargoyle_celestial,천상의 계단을 지키는 가고일
7102,오크 성기사,Demon,Orc,2,350,48,25,15,1.0,280,ch7_orc_paladin,타락한 성기사 오크
7103,가고일 대장,Demon,Gargoyle,3,480,55,45,40,0.8,380,ch7_gargoyle_captain,가고일 부대 지휘관
7150,플레이스홀더,Demon,Gargoyle,3,840,140,55,50,0.8,840,ch7_boss_st1,천상의 계단 수호자
7201,신전 골렘,Normal,Golem,2,350,28,45,20,0.5,240,ch7_golem_temple,무너진 신전의 석상 파수꾼
7202,예티 순례자,Normal,Yeti,2,280,38,18,12,0.9,230,ch7_yeti_pilgrim,신전을 떠도는 설인
7203,고대 골렘,Normal,Golem,3,500,42,65,30,0.4,380,ch7_golem_divine,신성한 힘이 오염된 고대 골렘
7250,플레이스홀더,Normal,Golem,3,860,145,65,35,0.6,860,ch7_boss_st2,무너진 신전의 수호자
7301,리치 왕,Undead,Lich,2,300,45,15,80,0.8,300,ch7_lich_king,언데드 군단의 리치 왕
7302,뱀파이어 공작,Undead,Vampire,2,350,50,25,50,1.0,320,ch7_vampire_duke,왕좌를 노리는 흡혈 공작
7303,대리치,Undead,Lich,3,450,60,20,90,0.7,420,ch7_lich_arch,오만의 마법을 다루는 대리치
7350,플레이스홀더,Undead,Lich,3,880,150,30,85,0.7,880,ch7_boss_st3,오만의 왕좌 수호자
7900,루시퍼,Demon,Gargoyle,3,4200,380,140,140,0.5,5000,ch7_chboss_lucifer,오만의 왕 — 스스로를 신이라 칭하다 추락한 자
